head_dim,heads,seq_len,batch,official_ms,fa_with_cuda_ms
64,32,512,32,0.6576240062713623,8.43366
64,32,1024,16,1.5112192153930664,15.1681
64,32,2048,8,3.0888879776000975,29.7684
64,32,4096,4,6.455654144287109,59.0715
64,32,8192,2,12.776652526855468,117.991
64,32,16384,1,25.87543640136719,196.475
128,16,512,32,1.3870287895202638,
128,16,1024,16,2.9338560104370117,
128,16,2048,8,6.0061695098876955,
128,16,4096,4,12.168038177490235,
128,16,8192,2,24.484693908691405,
128,16,16384,1,49.220672607421875,
